textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CERFOX

NomeMunicipio,SiglaEstado
Anta Gorda,RS
Arvorezinha,RS
Barros Cassal,RS
Boqueirão do Leão,RS
Camargo,RS
Capitão,RS
Casca,RS
Coqueiro Baixo,RS
David Canabarro,RS
Dois Lajeados,RS
Encantado,RS
Fontoura Xavier,RS
Gramado Xavier,RS
Guaporé,RS
Ilópolis,RS
Itapuca,RS
Montauri,RS
Nova Alvorada,RS
Nova Araçá,RS
Nova Bassano,RS
Nova Bréscia,RS
Paraí,RS
Progresso,RS
Putinga,RS
Relvado,RS
São Domingos do Sul,RS
São José do Herval,RS
São Valentim do Sul,RS
Serafina Corrêa,RS
Soledade,RS
Travesseiro,RS
União da Serra,RS
Vanini,RS
Vespasiano Correa,RS

