textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CERTEL ENERGIA

NomeMunicipio,SiglaEstado
Arroio do Meio,RS
Barão,RS
Barros Cassal,RS
Boa Vista do Sul,RS
Boqueirão do Leão,RS
Brochier,RS
Canudos do Vale,RS
Capitão,RS
Carlos Barbosa,RS
Colinas,RS
Coqueiro Baixo,RS
Coronel Pilar,RS
Cruzeiro do Sul,RS
Encantado,RS
Estrela,RS
Farroupilha,RS
Fazenda Vilanova,RS
Fontoura Xavier,RS
Forquetinha,RS
Gramado Xavier,RS
Harmonia,RS
Ilópolis,RS
Imigrante,RS
Lajeado,RS
Maratá,RS
Marques de Souza,RS
Paverama,RS
Poço das Antas,RS
Pouso Novo,RS
Progresso,RS
Putinga,RS
Roca Sales,RS
Salvador do Sul,RS
Santa Clara do Sul,RS
Santa Tereza,RS
São Francisco de Paula,RS
São José do Herval,RS
São José do Sul,RS
São Pedro da Serra,RS
São Vendelino,RS
Sério,RS
Taquara,RS
Teutônia,RS
Travesseiro,RS
Tupandi,RS
Venâncio Aires,RS
Westfália,RS

