textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CPFL Jaguari

NomeMunicipio,SiglaEstado
Águas de Santa Bárbara,SP
Alambari,SP
Arandu,SP
Arceburgo,MG
Avaré,SP
Barra do Jacaré,PR
Bernardino de Campos,SP
Caconde,SP
Canitar,SP
Casa Branca,SP
Cerqueira César,SP
Chavantes,SP
Divinolândia,SP
Espírito Santo do Turvo,SP
Guareí,SP
Iaras,SP
Ipauçu,SP
Itaí,SP
Itamogi,MG
Itapetininga,SP
Itobi,SP
Jacarezinho,PR
Jaguariúna,SP
Manduri,SP
Mococa,SP
Monte Santo de Minas,MG
Óleo,SP
Ourinhos,SP
Paranapanema,SP
Pedreira,SP
Piraju,SP
Ribeirão Claro,PR
Santa Cruz do Rio Pardo,SP
São José do Rio Pardo,SP
São Miguel Arcanjo,SP
São Pedro do Turvo,SP
São Sebastião da Grama,SP
Sarapuí,SP
Sarutaiá,SP
Taguaí,SP
Tapiratiba,SP
Taquarituba,SP
Tejupá,SP
Timburi,SP
Ubirajara,SP

