textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CPFL-PAULISTA

NomeMunicipio,SiglaEstado
Águas de Lindóia,SP
Águas de São Pedro,SP
Agudos,SP
Altair,SP
Altinópolis,SP
Alto Alegre,SP
Álvaro de Carvalho,SP
Alvinlândia,SP
Americana,SP
Américo Brasiliense,SP
Amparo,SP
Analândia,SP
Araçatuba,SP
Aramina,SP
Araraquara,SP
Arealva,SP
Areiópolis,SP
Ariranha,SP
Avaí,SP
Avanhandava,SP
Bady Bassitt,SP
Balbinos,SP
Bálsamo,SP
Barbosa,SP
Bariri,SP
Barra Bonita,SP
Barretos,SP
Barrinha,SP
Batatais,SP
Bauru,SP
Bebedouro,SP
Bento de Abreu,SP
Bilac,SP
Birigui,SP
Boa Esperança do Sul,SP
Bocaina,SP
Bofete,SP
Boracéia,SP
Borebi,SP
Botucatu,SP
Braúna,SP
Brejo Alegre,SP
Brodowski,SP
Brotas,SP
Buritizal,SP
Cabrália Paulista,SP
Cafelândia,SP
Cajobi,SP
Cajuru,SP
Campinas,SP
Campos Novos Paulista,SP
Cândido Rodrigues,SP
Capivari,SP
Cássia dos Coqueiros,SP
Cedral,SP
Charqueada,SP
Clementina,SP
Colina,SP
Colômbia,SP
Coroados,SP
Cosmópolis,SP
Cravinhos,SP
Cristais Paulista,SP
Descalvado,SP
Dobrada,SP
Dois Córregos,SP
Dourado,SP
Duartina,SP
Dumont,SP
Elias Fausto,SP
Embaúba,SP
Espírito Santo do Pinhal,SP
Fernando Prestes,SP
Fernão,SP
Franca,SP
Gabriel Monteiro,SP
Gália,SP
Garça,SP
Gavião Peixoto,SP
Getulina,SP
Glicério,SP
Guaiçara,SP
Guaimbê,SP
Guaíra,SP
Guapiaçu,SP
Guará,SP
Guaraci,SP
Guarantã,SP
Guararapes,SP
Guariba,SP
Guatapará,SP
Herculândia,SP
Hortolândia,SP
Iacanga,SP
Ibaté,SP
Ibirá,SP
Ibitinga,SP
Icém,SP
Igaraçu do Tietê,SP
Igarapava,SP
Ipiguá,SP
Ipuã,SP
Itaju,SP
Itapira,SP
Itápolis,SP
Itapuí,SP
Itatiba,SP
Itatinga,SP
Itirapuã,SP
Ituverava,SP
Jaborandi,SP
Jaboticabal,SP
Jaci,SP
Jardinópolis,SP
Jaú,SP
Jeriquara,SP
José Bonifácio,SP
Júlio Mesquita,SP
Lençóis Paulista,SP
Lindóia,SP
Lins,SP
Lucianópolis,SP
Luís Antônio,SP
Luiziânia,SP
Lupércio,SP
Macatuba,SP
Marília,SP
Matão,SP
Miguelópolis,SP
Mineiros do Tietê,SP
Mirassol,SP
Mirassolândia,SP
Mombuca,SP
Monte Alegre do Sul,SP
Monte Alto,SP
Monte Aprazível,SP
Monte Azul Paulista,SP
Monte Mor,SP
Morro Agudo,SP
Morungaba,SP
Motuca,SP
Neves Paulista,SP
Nova Europa,SP
Nova Granada,SP
Nova Odessa,SP
Nuporanga,SP
Ocauçu,SP
Olímpia,SP
Onda Verde,SP
Oriente,SP
Orlândia,SP
Palestina,SP
Palmares Paulista,SP
Paraíso,SP
Pardinho,SP
Patrocínio Paulista,SP
Paulínia,SP
Paulistânia,SP
Pederneiras,SP
Pedregulho,SP
Penápolis,SP
Piacatu,SP
Pindorama,SP
Piracicaba,SP
Pirajuí,SP
Pirangi,SP
Piratininga,SP
Pitangueiras,SP
Poloni,SP
Pompéia,SP
Pongaí,SP
Pontal,SP
Potirendaba,SP
Pradópolis,SP
Pratânia,SP
Presidente Alves,SP
Promissão,SP
Queiroz,SP
Quintana,SP
Rafard,SP
Reginópolis,SP
Restinga,SP
Ribeirão Bonito,SP
Ribeirão Corrente,SP
Ribeirão Preto,SP
Rifaina,SP
Rincão,SP
Rio das Pedras,SP
Rubiácea,SP
Sabino,SP
Sales Oliveira,SP
Saltinho,SP
Santa Adélia,SP
Santa Bárbara d´Oeste,SP
Santa Cruz da Esperança,SP
Santa Ernestina,SP
Santa Lúcia,SP
Santa Maria da Serra,SP
Santa Rosa de Viterbo,SP
Santo Antônio da Alegria,SP
Santo Antônio do Aracanguá,SP
Santo Antônio do Jardim,SP
Santópolis do Aguapeí,SP
São Carlos,SP
São Joaquim da Barra,SP
São José da Bela Vista,SP
São José do Rio Preto,SP
São Manuel,SP
São Pedro,SP
São Simão,SP
Serra Azul,SP
Serra Negra,SP
Serrana,SP
Sertãozinho,SP
Severínia,SP
Socorro,SP
Sumaré,SP
Tabatinga,SP
Taiaçu,SP
Taiúva,SP
Tanabi,SP
Taquaral,SP
Taquaritinga,SP
Terra Roxa,SP
Torrinha,SP
Trabiju,SP
Ubarana,SP
Uchoa,SP
Uru,SP
Valinhos,SP
Valparaíso,SP
Vera Cruz,SP
Viradouro,SP
Vista Alegre do Alto,SP

