textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA CRERAL

NomeMunicipio,SiglaEstado
Áurea,RS
Barra do Rio Azul,RS
Barracão,RS
Benjamin Constant do Sul,RS
Cacique Doble,RS
Campinas do Sul,RS
Carlos Gomes,RS
Centenário,RS
Charrua,RS
Cruzaltense,RS
Entre Rios do Sul,RS
Erebango,RS
Erechim,RS
Erval Grande,RS
Estação,RS
Faxinalzinho,RS
Floriano Peixoto,RS
Gaurama,RS
Getúlio Vargas,RS
Gramado dos Loureiros,RS
Ibiaçá,RS
Ipiranga do Sul,RS
Itatiba do Sul,RS
Jacutinga,RS
Machadinho,RS
Nonoai,RS
Paim Filho,RS
Ponte Preta,RS
Quatro Irmãos,RS
Rio dos Índios,RS
Sananduva,RS
Santo Expedito do Sul,RS
São João da Urtiga,RS
São José do Ouro,RS
São Valentim,RS
Severiano de Almeida,RS
Três Arroios,RS
Trindade do Sul,RS
Viadutos,RS

