textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA ELEKTRO

NomeMunicipio,SiglaEstado
Aguaí,SP
Águas da Prata,SP
Álvares Florence,SP
Álvares Machado,SP
Américo de Campos,SP
Anaurilândia,MS
Andradina,SP
Angatuba,SP
Anhembi,SP
Anhumas,SP
Aparecida d´Oeste,SP
Apiaí,SP
Arapeí,SP
Araras,SP
Areias,SP
Artur Nogueira,SP
Arujá,SP
Aspásia,SP
Atibaia,SP
Auriflama,SP
Bananal,SP
Barão de Antonina,SP
Barra do Chapéu,SP
Barra do Turvo,SP
Bertioga,SP
Bom Jesus dos Perdões,SP
Bom Sucesso de Itararé,SP
Brasilândia,MS
Buri,SP
Buritama,SP
Cabreúva,SP
Caieiras,SP
Cajati,SP
Campina do Monte Alegre,SP
Campos do Jordão,SP
Cananéia,SP
Capão Bonito,SP
Cardoso,SP
Castilho,SP
Cerquilho,SP
Cesário Lange,SP
Conchal,SP
Conchas,SP
Cordeirópolis,SP
Coronel Macedo,SP
Corumbataí,SP
Cosmorama,SP
Cunha,SP
Dirce Reis,SP
Dolcinópolis,SP
Dracena,SP
Eldorado,SP
Engenheiro Coelho,SP
Estiva Gerbi,SP
Estrela d´Oeste,SP
Estrela do Norte,SP
Euclides da Cunha Paulista,SP
Fartura,SP
Fernandópolis,SP
Flora Rica,SP
Floreal,SP
Flórida Paulista,SP
Francisco Morato,SP
Franco da Rocha,SP
Gastão Vidigal,SP
General Salgado,SP
Guapiara,SP
Guaraçaí,SP
Guarani d´Oeste,SP
Guarujá,SP
Guzolândia,SP
Igaratá,SP
Iguape,SP
Ilha Comprida,SP
Ilha Solteira,SP
Ilhabela,SP
Indiaporã,SP
Ipeúna,SP
Iporanga,SP
Iracemápolis,SP
Irapuru,SP
Itaberá,SP
Itanhaém,SP
Itaóca,SP
Itapeva,SP
Itapirapuã Paulista,SP
Itaporanga,SP
Itapura,SP
Itararé,SP
Itariri,SP
Itirapina,SP
Jacupiranga,SP
Jales,SP
Jarinu,SP
Joanópolis,SP
Jumirim,SP
Junqueirópolis,SP
Juquiá,SP
Lagoinha,SP
Laranjal Paulista,SP
Lavínia,SP
Lavrinhas,SP
Leme,SP
Limeira,SP
Lourdes,SP
Macaubal,SP
Macedônia,SP
Magda,SP
Mairiporã,SP
Marabá Paulista,SP
Mariápolis,SP
Marinópolis,SP
Meridiano,SP
Mesópolis,SP
Mira Estrela,SP
Miracatu,SP
Mirandópolis,SP
Mirante do Paranapanema,SP
Mogi Guaçu,SP
Mogi Mirim,SP
Monções,SP
Mongaguá,SP
Monte Aprazível,SP
Monte Castelo,SP
Murutinga do Sul,SP
Narandiba,SP
Natividade da Serra,SP
Nazaré Paulista,SP
Nhandeara,SP
Nipoã,SP
Nova Campina,SP
Nova Canaã Paulista,SP
Nova Castilho,SP
Nova Guataporanga,SP
Nova Independência,SP
Nova Luzitânia,SP
Orindiúva,SP
Ouro Verde,SP
Ouroeste,SP
Pacaembu,SP
Palmeira d´Oeste,SP
Panorama,SP
Paraibuna,SP
Paranapuã,SP
Pariquera-Açu,SP
Parisi,SP
Paulicéia,SP
Paulo de Faria,SP
Pedranópolis,SP
Pedro de Toledo,SP
Pereira Barreto,SP
Pereiras,SP
Peruíbe,SP
Piedade,SP
Pilar do Sul,SP
Piquete,SP
Piracaia,SP
Pirapozinho,SP
Pirassununga,SP
Planalto,SP
Pontalinda,SP
Pontes Gestal,SP
Populina,SP
Porangaba,SP
Porto Ferreira,SP
Praia Grande,SP
Presidente Bernardes,SP
Quadra,SP
Queluz,SP
Redenção da Serra,SP
Registro,SP
Ribeira,SP
Ribeirão Branco,SP
Ribeirão Grande,SP
Rio Claro,SP
Riolândia,SP
Riversul,SP
Rosana,SP
Rubinéia,SP
Sandovalina,SP
Santa Albertina,SP
Santa Clara d´Oeste,SP
Santa Cruz da Conceição,SP
Santa Cruz das Palmeiras,SP
Santa Fé do Sul,SP
Santa Gertrudes,SP
Santa Isabel,SP
Santa Mercedes,SP
Santa Rita d´Oeste,SP
Santa Rita do Pardo,MS
Santa Rita do Passa Quatro,SP
Santa Salete,SP
Santana da Ponte Pensa,SP
Santo Antônio de Posse,SP
Santo Antônio do Pinhal,SP
Santos,SP
São Bento do Sapucaí,SP
São Francisco,SP
São João da Boa Vista,SP
São João das Duas Pontes,SP
São João de Iracema,SP
São João do Pau d´Alho,SP
São José do Barreiro,SP
São Luís do Paraitinga,SP
Sebastianópolis do Sul,SP
Selvíria,MS
Sete Barras,SP
Silveiras,SP
Sud Mennucci,SP
Suzanápolis,SP
Taciba,SP
Tambaú,SP
Tapiraí,SP
Taquarivaí,SP
Tarabai,SP
Tatuí,SP
Teodoro Sampaio,SP
Tietê,SP
Torre de Pedra,SP
Três Fronteiras,SP
Três Lagoas,MS
Tupi Paulista,SP
Turiúba,SP
Turmalina,SP
Ubatuba,SP
União Paulista,SP
Urânia,SP
Valentim Gentil,SP
Vargem Grande do Sul,SP
Vitória Brasil,SP
Votuporanga,SP
Zacarias,SP

