textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA EMT

NomeMunicipio,SiglaEstado
Acorizal,MT
Água Boa,MT
Alta Floresta,MT
Alto Araguaia,MT
Alto Boa Vista,MT
Alto Garças,MT
Alto Paraguai,MT
Alto Taquari,MT
Apiacás,MT
Araguaiana,MT
Araguainha,MT
Araputanga,MT
Arenápolis,MT
Aripuanã,MT
Barão de Melgaço,MT
Barra do Bugres,MT
Barra do Garças,MT
Bom Jesus do Araguaia,MT
Brasnorte,MT
Cáceres,MT
Campinápolis,MT
Campo Novo do Parecis,MT
Campo Verde,MT
Campos de Júlio,MT
Canabrava do Norte,MT
Canarana,MT
Carlinda,MT
Castanheira,MT
Chapada dos Guimarães,MT
Cláudia,MT
Cocalinho,MT
Colíder,MT
Colniza,MT
Comodoro,MT
Confresa,MT
Conquista D'oeste,MT
Cotriguaçu,MT
Cuiabá,MT
Curvelândia,MT
Denise,MT
Diamantino,MT
Dom Aquino,MT
Feliz Natal,MT
Figueirópolis D´Oeste,MT
Gaúcha do Norte,MT
General Carneiro,MT
Glória D´Oeste,MT
Guarantã do Norte,MT
Guiratinga,MT
Indiavaí,MT
Ipiranga do Norte,MT
Itanhanga,MT
Itaúba,MT
Itiquira,MT
Jaciara,MT
Jangada,MT
Jauru,MT
Juara,MT
Juína,MT
Juruena,MT
Juscimeira,MT
Lambari D´Oeste,MT
Lucas do Rio Verde,MT
Luciára,MT
Marcelândia,MT
Matupá,MT
Mirassol d´Oeste,MT
Nobres,MT
Nortelândia,MT
Nossa Senhora do Livramento,MT
Nova Bandeirantes,MT
Nova Brasilândia,MT
Nova Canaã do Norte,MT
Nova Guarita,MT
Nova Lacerda,MT
Nova Marilândia,MT
Nova Maringá,MT
Nova Monte verde,MT
Nova Mutum,MT
Nova Nazaré,MT
Nova Olímpia,MT
Nova Santa Helena,MT
Nova Ubiratã,MT
Nova Xavantina,MT
Novo Horizonte do Norte,MT
Novo Mundo,MT
Novo Santo Antônio,MT
Novo São Joaquim,MT
Paranaíta,MT
Paranatinga,MT
Pedra Preta,MT
Peixoto de Azevedo,MT
Planalto da Serra,MT
Poconé,MT
Pontal do Araguaia,MT
Ponte Branca,MT
Pontes e Lacerda,MT
Porto Alegre do Norte,MT
Porto dos Gaúchos,MT
Porto Esperidião,MT
Porto Estrela,MT
Poxoréo,MT
Primavera do Leste,MT
Querência,MT
Reserva do Cabaçal,MT
Ribeirão Cascalheira,MT
Ribeirãozinho,MT
Rio Branco,MT
Rondolândia,MT
Rondonópolis,MT
Rosário Oeste,MT
Salto do Céu,MT
Santa Carmem,MT
Santa Cruz do Xingu,MT
Santa Rita do Trivelato,MT
Santa Terezinha,MT
Santo Afonso,MT
Santo Antônio do Leste,MT
Santo Antônio do Leverger,MT
São Félix do Araguaia,MT
São José do Povo,MT
São José do Rio Claro,MT
São José do Xingu,MT
São José dos Quatro Marcos,MT
São Pedro da Cipa,MT
Sapezal,MT
Serra Nova Dourada,MT
Sinop,MT
Sorriso,MT
Tabaporã,MT
Tangará da Serra,MT
Tapurah,MT
Terra Nova do Norte,MT
Tesouro,MT
Torixoréu,MT
União do Sul,MT
Vale de São Domingos,MT
Várzea Grande,MT
Vera,MT
Vila Bela da Santíssima Trindade,MT
Vila Rica,MT

