textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA ENEL RJ

NomeMunicipio,SiglaEstado
Angra dos Reis,RJ
Aperibé,RJ
Araruama,RJ
Areal,RJ
Armação dos Búzios,RJ
Arraial do Cabo,RJ
Bocaina de Minas,MG
Bom Jardim,RJ
Bom Jesus do Itabapoana,RJ
Cabo Frio,RJ
Cachoeiras de Macacu,RJ
Cambuci,RJ
Campos dos Goytacazes,RJ
Cantagalo,RJ
Carapebus,RJ
Cardoso Moreira,RJ
Carmo,RJ
Casimiro de Abreu,RJ
Conceição de Macabu,RJ
Cordeiro,RJ
Duas Barras,RJ
Duque de Caxias,RJ
Guapimirim,RJ
Iguaba Grande,RJ
Itaboraí,RJ
Italva,RJ
Itaocara,RJ
Itaperuna,RJ
Itatiaia,RJ
Laje do Muriaé,RJ
Macaé,RJ
Macuco,RJ
Magé,RJ
Mangaratiba,RJ
Maricá,RJ
Miracema,RJ
Natividade,RJ
Niterói,RJ
Nova Friburgo,RJ
Paraíba do Sul,RJ
Parati,RJ
Petrópolis,RJ
Porciúncula,RJ
Porto Real,RJ
Quissamã,RJ
Resende,RJ
Rio Bonito,RJ
Rio das Ostras,RJ
Santa Maria Madalena,RJ
Santo Antônio de Pádua,RJ
São Fidélis,RJ
São Francisco de Itabapoana,RJ
São Gonçalo,RJ
São João da Barra,RJ
São José de Ubá,RJ
São José do Vale do Rio Preto,RJ
São Pedro da Aldeia,RJ
São Sebastião do Alto,RJ
Saquarema,RJ
Silva Jardim,RJ
Sumidouro,RJ
Tanguá,RJ
Teresópolis,RJ
Trajano de Morais,RJ
Três Rios,RJ
Varre-Sai,RJ

