textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA Boa Vista

NomeMunicipio,SiglaEstado
Água Branca,PB
Aguiar,PB
Alagoa Grande,PB
Alagoa Nova,PB
Alagoinha,PB
Alcantil,PB
Algodão de Jandaíra,PB
Alhandra,PB
Amparo,PB
Aparecida,PB
Araçagi,PB
Arara,PB
Araruna,PB
Areia,PB
Areia de Baraúnas,PB
Areial,PB
Aroeiras,PB
Assunção,PB
Baía da Traição,PB
Bananeiras,PB
Baraúna,PB
Barra de Santa Rosa,PB
Barra de Santana,PB
Barra de São Miguel,PB
Bayeux,PB
Belém,PB
Belém do Brejo do Cruz,PB
Bernardino Batista,PB
Boa Ventura,PB
Boa Vista,PB
Bom Jesus,PB
Bom Jesus,PI
Bom Sucesso,PB
Bonito de Santa Fé,PB
Boqueirão,PB
Borborema,PB
Brejo do Cruz,PB
Brejo dos Santos,PB
Caaporã,PB
Cabaceiras,PB
Cabedelo,PB
Cachoeira dos Índios,PB
Cacimba de Areia,PB
Cacimba de Dentro,PB
Cacimbas,PB
Caiçara,PB
Cajazeiras,PB
Cajazeirinhas,PB
Caldas Brandão,PB
Camalaú,PB
Campina Grande,PB
Campo de Santana,PB
Capim,PB
Caraúbas,PB
Carrapateira,PB
Casserengue,PB
Catingueira,PB
Catolé do Rocha,PB
Caturité,PB
Conceição,PB
Condado,PB
Conde,PB
Congo,PB
Coremas,PB
Coxixola,PB
Cruz do Espírito Santo,PB
Cubati,PB
Cuité,PB
Cuité de Mamanguape,PB
Cuitegi,PB
Curral de Cima,PB
Curral Velho,PB
Damião,PB
Desterro,PB
Diamante,PB
Dona Inês,PB
Duas Estradas,PB
Emas,PB
Esperança,PB
Fagundes,PB
Frei Martinho,PB
Gado Bravo,PB
Guarabira,PB
Gurinhém,PB
Gurjão,PB
Ibiara,PB
Igaracy,PB
Imaculada,PB
Ingá,PB
Itabaiana,PB
Itaporanga,PB
Itapororoca,PB
Itatuba,PB
Jacaraú,PB
Jericó,PB
João Pessoa,PB
Juarez Távora,PB
Juazeirinho,PB
Junco do Seridó,PB
Juripiranga,PB
Juru,PB
Lagoa,PB
Lagoa de Dentro,PB
Lagoa Seca,PB
Lastro,PB
Livramento,PB
Logradouro,PB
Lucena,PB
Mãe d´Água,PB
Malta,PB
Mamanguape,PB
Manaíra,PB
Marcação,PB
Mari,PB
Marizópolis,PB
Massaranduba,PB
Mataraca,PB
Matinhas,PB
Mato Grosso,PB
Maturéia,PB
Mogeiro,PB
Montadas,PB
Monte Horebe,PB
Monteiro,PB
Mulungu,CE
Mulungu,PB
Natuba,PB
Nazarezinho,PB
Nova Floresta,PB
Nova Olinda,PB
Nova Palmeira,PB
Olho d´Água,PB
Olivedos,PB
Ouro Velho,PB
Parari,PB
Passagem,PB
Passagem,RN
Patos,PB
Paulista,PB
Pedra Branca,PB
Pedra Lavrada,PB
Pedras de Fogo,PB
Pedro Régis,PB
Piancó,PB
Picuí,PB
Pilar,PB
Pilões,PB
Pilões,RN
Pilõezinhos,PB
Pirpirituba,PB
Pitimbu,PB
Pocinhos,PB
Poço Dantas,PB
Poço de José de Moura,PB
Pombal,PB
Prata,PB
Princesa Isabel,PB
Puxinanã,PB
Queimadas,PB
Quixabá,PB
Remígio,PB
Riachão,PB
Riachão do Bacamarte,PB
Riachão do Poço,PB
Riacho de Santo Antônio,PB
Riacho dos Cavalos,PB
Rio Tinto,PB
Salgadinho,PB
Salgado de São Félix,PB
Santa Cecília,PB
Santa Cruz,PB
Santa Helena,MA
Santa Helena,PB
Santa Inês,PB
Santa Luzia,MA
Santa Luzia,PB
Santa Rita,MA
Santa Rita,PB
Santa Teresinha,PB
Santana de Mangueira,PB
Santana dos Garrotes,PB
Santarém,PB
Santo André,PB
São Bentinho,PB
São Bento,PB
São Domingos de Pombal,PB
São Domingos do Cariri,PB
São Francisco,PB
São João do Cariri,PB
São João do Rio do Peixe,PB
São João do Tigre,PB
São José da Lagoa Tapada,PB
São José de Caiana,PB
São José de Espinharas,PB
São José de Piranhas,PB
São José de Princesa,PB
São José do Bonfim,PB
São José do Brejo do Cruz,PB
São José do Sabugi,PB
São José dos Cordeiros,PB
São José dos Ramos,PB
São Mamede,PB
São Miguel de Taipu,PB
São Sebastião de Lagoa de Roça,PB
São Sebastião do Umbuzeiro,PB
São Vicente do Seridó,PB
Sapé,PB
Serra Branca,PB
Serra da Raiz,PB
Serra Grande,PB
Serra Redonda,PB
Serraria,PB
Sertãozinho,PB
Sobrado,PB
Solânea,PB
Soledade,PB
Sossêgo,PB
Sousa,PB
Sumé,PB
Taperoá,PB
Tavares,PB
Teixeira,PB
Tenório,PB
Triunfo,PB
Uiraúna,PB
Umbuzeiro,PB
Várzea,PB
Vieirópolis,PB
Vista Serrana,PB
Zabelê,PB
