textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA Equatorial PA

NomeMunicipio,SiglaEstado
Abaetetuba,PA
Abel Figueiredo,PA
Acará,PA
Afuá,PA
Água Azul do Norte,PA
Alenquer,PA
Almeirim,PA
Altamira,PA
Anajás,PA
Ananindeua,PA
Anapu,PA
Augusto Corrêa,PA
Aurora do Pará,PA
Aveiro,PA
Bagre,PA
Baião,PA
Bannach,PA
Barcarena,PA
Belém,PA
Belterra,PA
Benevides,PA
Bom Jesus do Tocantins,PA
Bonito,PA
Bragança,PA
Brasil Novo,PA
Brejo Grande do Araguaia,PA
Breu Branco,PA
Breves,PA
Bujaru,PA
Cachoeira do Arari,PA
Cachoeira do Piriá,PA
Cametá,PA
Canaã dos Carajás,PA
Capanema,PA
Capitão Poço,PA
Castanhal,PA
Chaves,PA
Colares,PA
Conceição do Araguaia,PA
Concórdia do Pará,PA
Cumaru do Norte,PA
Curionópolis,PA
Curralinho,PA
Curuá,PA
Curuçá,PA
Dom Eliseu,PA
Eldorado dos Carajás,PA
Faro,PA
Floresta do Araguaia,PA
Garrafão do Norte,PA
Goianésia do Pará,PA
Gurupá,PA
Igarapé-Açu,PA
Igarapé-Miri,PA
Inhangapi,PA
Ipixuna do Pará,PA
Irituia,PA
Itaituba,PA
Itupiranga,PA
Jacareacanga,PA
Jacundá,PA
Juruti,PA
Limoeiro do Ajuru,PA
Mãe do Rio,PA
Magalhães Barata,PA
Marabá,PA
Maracanã,PA
Marapanim,PA
Marituba,PA
Medicilândia,PA
Melgaço,PA
Mocajuba,PA
Moju,PA
Mojuí dos Campos,PA
Monte Alegre,PA
Muaná,PA
Nova Esperança do Piriá,PA
Nova Ipixuna,PA
Nova Timboteua,PA
Novo Progresso,PA
Novo Repartimento,PA
Óbidos,PA
Oeiras do Pará,PA
Oriximiná,PA
Ourém,PA
Ourilândia do Norte,PA
Pacajá,PA
Palestina do Pará,PA
Paragominas,PA
Parauapebas,PA
Pau D´Arco,PA
Peixe-Boi,PA
Piçarra,PA
Placas,PA
Ponta de Pedras,PA
Portel,PA
Porto de Moz,PA
Prainha,PA
Primavera,PA
Quatipuru,PA
Redenção,PA
Rio Maria,PA
Rondon do Pará,PA
Rurópolis,PA
Salinópolis,PA
Salvaterra,PA
Santa Bárbara do Pará,PA
Santa Cruz do Arari,PA
Santa Isabel do Pará,PA
Santa Luzia do Pará,PA
Santa Maria das Barreiras,PA
Santa Maria do Pará,PA
Santana do Araguaia,PA
Santarém,PA
Santarém Novo,PA
Santo Antônio do Tauá,PA
São Caetano de Odivelas,PA
São Domingos do Araguaia,PA
São Domingos do Capim,PA
São Félix do Xingu,PA
São Francisco do Pará,PA
São Geraldo do Araguaia,PA
São João da Ponta,PA
São João de Pirabas,PA
São João do Araguaia,PA
São Miguel do Guamá,PA
São Sebastião da Boa Vista,PA
Sapucaia,PA
Senador José Porfírio,PA
Soure,PA
Tailândia,PA
Terra Alta,PA
Terra Santa,PA
Tomé-Açu,PA
Tracuateua,PA
Trairão,PA
Tucumã,PA
Tucuruí,PA
Ulianópolis,PA
Uruará,PA
Vigia,PA
Viseu,PA
Vitória do Xingu,PA
Xinguara,PA

