textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA ESE

NomeMunicipio,SiglaEstado
Amparo de São Francisco,SE
Aquidabã,SE
Aracaju,SE
Areia Branca,SE
Barra dos Coqueiros,SE
Brejo Grande,SE
Campo do Brito,SE
Canhoba,SE
Canindé de São Francisco,SE
Capela,SE
Carira,SE
Carmópolis,SE
Cedro de São João,SE
Cumbe,SE
Divina Pastora,SE
Feira Nova,SE
Frei Paulo,SE
Gararu,SE
General Maynard,SE
Gracho Cardoso,SE
Ilha das Flores,SE
Itabaiana,SE
Itabi,SE
Itaporanga d´Ajuda,SE
Japaratuba,SE
Japoatã,SE
Lagarto,SE
Laranjeiras,SE
Macambira,SE
Malhada dos Bois,SE
Malhador,SE
Maruim,SE
Moita Bonita,SE
Monte Alegre de Sergipe,SE
Muribeca,SE
Neópolis,SE
Nossa Senhora Aparecida,SE
Nossa Senhora da Glória,SE
Nossa Senhora das Dores,SE
Nossa Senhora de Lourdes,SE
Nossa Senhora do Socorro,SE
Pacatuba,SE
Pedra Mole,SE
Pinhão,SE
Pirambu,SE
Poço Redondo,SE
Poço Verde,SE
Porto da Folha,SE
Propriá,SE
Riachuelo,SE
Ribeirópolis,SE
Rosário do Catete,SE
Salgado,SE
Santa Rosa de Lima,SE
Santana do São Francisco,SE
Santo Amaro das Brotas,SE
São Cristóvão,SE
São Domingos,SE
São Francisco,SE
São Miguel do Aleixo,SE
Simão Dias,SE
Siriri,SE
Telha,SE

