textbox7
MUNICÍPIOS ATENDIDOS PELA DISTRIBUIDORA LIGHT SESA

NomeMunicipio,SiglaEstado
Além Paraíba,MG
Angra dos Reis,RJ
Barra do Piraí,RJ
Barra Mansa,RJ
Belford Roxo,RJ
Belmiro Braga,MG
Carmo,RJ
Chiador,MG
Comendador Levy Gasparian,RJ
Duas Barras,RJ
Duque de Caxias,RJ
Engenheiro Paulo de Frontin,RJ
Itaguaí,RJ
Japeri,RJ
Mangaratiba,RJ
Mendes,RJ
Mesquita,RJ
Miguel Pereira,RJ
Nilópolis,RJ
Nova Iguaçu,RJ
Paracambi,RJ
Paraíba do Sul,RJ
Paty do Alferes,RJ
Petrópolis,RJ
Pinheiral,RJ
Piraí,RJ
Porto Real,RJ
Quatis,RJ
Queimados,RJ
Resende,RJ
Rio Claro,RJ
Rio das Flores,RJ
Rio de Janeiro,RJ
Rio Preto,MG
Santana do Deserto,MG
São João de Meriti,RJ
São José do Rio Preto,SP
Sapucaia,RJ
Seropédica,RJ
Simão Pereira,MG
Sumidouro,RJ
Teresópolis,RJ
Três Rios,RJ
Valença,RJ
Vassouras,RJ
Volta Redonda,RJ

