SIGLA_USINA,n, owner, owner_info
V DE SÃO JANUÁRIO 17,32932.518033, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
VENTOS DE SÃO JANUÁR,31745.466572, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
V DE SÃO JANUÁRIO 16,30664.9576, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
V DE SÃO JANUÁRIO 19,30470.452993, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
VENTOS DE SANTA MART,27530.859703, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/rio-do-vento
V DE SÃO JANUÁRIO 18,27334.082891000002, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/folha-larga-sul
VENTOS STA MARTINA11,26576.612302, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/rio-do-vento
SAO CIRIACO,25827.685124, Auren Energia-Votorantim S.A., https://ri.aurenenergia.com.br/esg/estrutura-acionaria/
VENTOS STA MARTINA09,25808.556143, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/rio-do-vento
VENTOS STA MARTINA10,25754.924424, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/rio-do-vento
SANTA MARTA 14,25601.499259, ECBRASIL,
VENTOS STA MARTINA12,25467.045898, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/rio-do-vento
EOL Campo Largo XII,24582.280108, Engie Brasil, https://www.engie.com.br/investidores/companhia-engie-brasil-energia/
Ventos de SRoque 01,24357.484284, Enel, https://www.enelgreenpower.com/pt/nossos-projetos
SAO CRISPIM I,24187.231883, Auren Energia-Votorantim S.A., https://ri.aurenenergia.com.br/esg/estrutura-acionaria/
Aroeira 03,24133.901691, Enel, https://www.avsibrasil.org.br/projeto/complexo-eolico-aroeira/
SANTA MARTINA 13,24110.991417, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/rio-do-vento
EOL Aroeira 01,23997.127127, Enel, https://www.avsibrasil.org.br/projeto/complexo-eolico-aroeira/
VSantaLuzia13,23929.691473, Casa dos Ventos-TotalEnergies, https://casadosventos.com.br/en/ativos/umari
